megyeNev,telepulesNev,megyeKod,telepulesKod,szavkorSorszam,jeloloSzervezet,jeloltNev,szavazatSzam,szavazatAranySzavkorben
BUDAPEST,Budapest II. kerület,1,2,3, FIDESZ-KDNP,DR. LÁNG ZSOLT ,180,"44,78%"
BUDAPEST,Budapest II. kerület,1,2,4, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,361,"56,67%"
BUDAPEST,Budapest II. kerület,1,2,4, FIDESZ-KDNP,DR. LÁNG ZSOLT ,276,"43,33%"
BUDAPEST,Budapest II. kerület,1,2,5, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,428,"60,54%"
BUDAPEST,Budapest II. kerület,1,2,5, FIDESZ-KDNP,DR. LÁNG ZSOLT ,279,"39,46%"
BUDAPEST,Budapest II. kerület,1,2,6, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,316,"53,83%"
BUDAPEST,Budapest II. kerület,1,2,6, FIDESZ-KDNP,DR. LÁNG ZSOLT ,271,"46,17%"
BUDAPEST,Budapest II. kerület,1,2,7, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,289,"54,63%"
BUDAPEST,Budapest II. kerület,1,2,7, FIDESZ-KDNP,DR. LÁNG ZSOLT ,240,"45,37%"
BUDAPEST,Budapest II. kerület,1,2,8, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,298,"50,68%"
BUDAPEST,Budapest II. kerület,1,2,8, FIDESZ-KDNP,DR. LÁNG ZSOLT ,290,"49,32%"
BUDAPEST,Budapest II. kerület,1,2,9, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,331,"57,47%"
BUDAPEST,Budapest II. kerület,1,2,9, FIDESZ-KDNP,DR. LÁNG ZSOLT ,245,"42,53%"
BUDAPEST,Budapest II. kerület,1,2,10, FIDESZ-KDNP,DR. LÁNG ZSOLT ,271,"51,33%"
BUDAPEST,Budapest II. kerület,1,2,10, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,257,"48,67%"
BUDAPEST,Budapest II. kerület,1,2,11, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,206,"52,69%"
BUDAPEST,Budapest II. kerület,1,2,11, FIDESZ-KDNP,DR. LÁNG ZSOLT ,185,"47,31%"
BUDAPEST,Budapest II. kerület,1,2,12, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,397,"57,70%"
BUDAPEST,Budapest II. kerület,1,2,12, FIDESZ-KDNP,DR. LÁNG ZSOLT ,291,"42,30%"
BUDAPEST,Budapest II. kerület,1,2,13, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,238,"53,01%"
BUDAPEST,Budapest II. kerület,1,2,13, FIDESZ-KDNP,DR. LÁNG ZSOLT ,211,"46,99%"
BUDAPEST,Budapest II. kerület,1,2,14, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,316,"57,77%"
BUDAPEST,Budapest II. kerület,1,2,14, FIDESZ-KDNP,DR. LÁNG ZSOLT ,231,"42,23%"
BUDAPEST,Budapest II. kerület,1,2,15, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,254,"50,90%"
BUDAPEST,Budapest II. kerület,1,2,15, FIDESZ-KDNP,DR. LÁNG ZSOLT ,245,"49,10%"
BUDAPEST,Budapest II. kerület,1,2,16, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,325,"52,25%"
BUDAPEST,Budapest II. kerület,1,2,16, FIDESZ-KDNP,DR. LÁNG ZSOLT ,297,"47,75%"
BUDAPEST,Budapest II. kerület,1,2,17, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,337,"58,41%"
BUDAPEST,Budapest II. kerület,1,2,17, FIDESZ-KDNP,DR. LÁNG ZSOLT ,240,"41,59%"
BUDAPEST,Budapest II. kerület,1,2,18, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,305,"56,69%"
BUDAPEST,Budapest II. kerület,1,2,18, FIDESZ-KDNP,DR. LÁNG ZSOLT ,233,"43,31%"
BUDAPEST,Budapest II. kerület,1,2,19, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,357,"58,91%"
BUDAPEST,Budapest II. kerület,1,2,19, FIDESZ-KDNP,DR. LÁNG ZSOLT ,249,"41,09%"
BUDAPEST,Budapest II. kerület,1,2,20, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,318,"56,68%"
BUDAPEST,Budapest II. kerület,1,2,20, FIDESZ-KDNP,DR. LÁNG ZSOLT ,243,"43,32%"
BUDAPEST,Budapest II. kerület,1,2,21, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,295,"53,83%"
BUDAPEST,Budapest II. kerület,1,2,21, FIDESZ-KDNP,DR. LÁNG ZSOLT ,253,"46,17%"
BUDAPEST,Budapest II. kerület,1,2,22, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,287,"51,62%"
BUDAPEST,Budapest II. kerület,1,2,22, FIDESZ-KDNP,DR. LÁNG ZSOLT ,269,"48,38%"
BUDAPEST,Budapest II. kerület,1,2,23, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,361,"60,27%"
BUDAPEST,Budapest II. kerület,1,2,23, FIDESZ-KDNP,DR. LÁNG ZSOLT ,238,"39,73%"
BUDAPEST,Budapest II. kerület,1,2,24, FIDESZ-KDNP,DR. LÁNG ZSOLT ,317,"50,48%"
BUDAPEST,Budapest II. kerület,1,2,24, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,311,"49,52%"
BUDAPEST,Budapest II. kerület,1,2,25, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,294,"53,75%"
BUDAPEST,Budapest II. kerület,1,2,25, FIDESZ-KDNP,DR. LÁNG ZSOLT ,253,"46,25%"
BUDAPEST,Budapest II. kerület,1,2,26, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,317,"51,29%"
BUDAPEST,Budapest II. kerület,1,2,26, FIDESZ-KDNP,DR. LÁNG ZSOLT ,301,"48,71%"
BUDAPEST,Budapest II. kerület,1,2,27, FIDESZ-KDNP,DR. LÁNG ZSOLT ,249,"51,13%"
BUDAPEST,Budapest II. kerület,1,2,27, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,238,"48,87%"
BUDAPEST,Budapest II. kerület,1,2,28, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,247,"50,10%"
BUDAPEST,Budapest II. kerület,1,2,28, FIDESZ-KDNP,DR. LÁNG ZSOLT ,246,"49,90%"
BUDAPEST,Budapest II. kerület,1,2,29, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,190,"57,58%"
BUDAPEST,Budapest II. kerület,1,2,29, FIDESZ-KDNP,DR. LÁNG ZSOLT ,140,"42,42%"
BUDAPEST,Budapest II. kerület,1,2,30, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,221,"58,47%"
BUDAPEST,Budapest II. kerület,1,2,30, FIDESZ-KDNP,DR. LÁNG ZSOLT ,157,"41,53%"
BUDAPEST,Budapest II. kerület,1,2,31, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,381,"51,42%"
BUDAPEST,Budapest II. kerület,1,2,31, FIDESZ-KDNP,DR. LÁNG ZSOLT ,360,"48,58%"
BUDAPEST,Budapest II. kerület,1,2,32, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,347,"51,56%"
BUDAPEST,Budapest II. kerület,1,2,32, FIDESZ-KDNP,DR. LÁNG ZSOLT ,326,"48,44%"
BUDAPEST,Budapest II. kerület,1,2,33, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,333,"54,95%"
BUDAPEST,Budapest II. kerület,1,2,33, FIDESZ-KDNP,DR. LÁNG ZSOLT ,273,"45,05%"
BUDAPEST,Budapest II. kerület,1,2,34, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,269,"54,56%"
BUDAPEST,Budapest II. kerület,1,2,34, FIDESZ-KDNP,DR. LÁNG ZSOLT ,224,"45,44%"
BUDAPEST,Budapest II. kerület,1,2,35, FIDESZ-KDNP,DR. LÁNG ZSOLT ,302,"52,89%"
BUDAPEST,Budapest II. kerület,1,2,35, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,269,"47,11%"
BUDAPEST,Budapest II. kerület,1,2,36, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,326,"51,50%"
BUDAPEST,Budapest II. kerület,1,2,36, FIDESZ-KDNP,DR. LÁNG ZSOLT ,307,"48,50%"
BUDAPEST,Budapest II. kerület,1,2,37, FIDESZ-KDNP,DR. LÁNG ZSOLT ,286,"50,80%"
BUDAPEST,Budapest II. kerület,1,2,37, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,277,"49,20%"
BUDAPEST,Budapest II. kerület,1,2,38, FIDESZ-KDNP,DR. LÁNG ZSOLT ,341,"51,59%"
BUDAPEST,Budapest II. kerület,1,2,38, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,320,"48,41%"
BUDAPEST,Budapest II. kerület,1,2,39, FIDESZ-KDNP,DR. LÁNG ZSOLT ,325,"55,75%"
BUDAPEST,Budapest II. kerület,1,2,39, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,258,"44,25%"
BUDAPEST,Budapest II. kerület,1,2,40, FIDESZ-KDNP,DR. LÁNG ZSOLT ,311,"53,99%"
BUDAPEST,Budapest II. kerület,1,2,40, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,265,"46,01%"
BUDAPEST,Budapest II. kerület,1,2,41, FIDESZ-KDNP,DR. LÁNG ZSOLT ,275,"57,53%"
BUDAPEST,Budapest II. kerület,1,2,41, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,203,"42,47%"
BUDAPEST,Budapest II. kerület,1,2,42, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,243,"51,59%"
BUDAPEST,Budapest II. kerület,1,2,42, FIDESZ-KDNP,DR. LÁNG ZSOLT ,228,"48,41%"
BUDAPEST,Budapest II. kerület,1,2,43, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,273,"52,10%"
BUDAPEST,Budapest II. kerület,1,2,43, FIDESZ-KDNP,DR. LÁNG ZSOLT ,251,"47,90%"
BUDAPEST,Budapest II. kerület,1,2,44, FIDESZ-KDNP,DR. LÁNG ZSOLT ,356,"55,28%"
BUDAPEST,Budapest II. kerület,1,2,44, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,288,"44,72%"
BUDAPEST,Budapest II. kerület,1,2,45, FIDESZ-KDNP,DR. LÁNG ZSOLT ,331,"59,96%"
BUDAPEST,Budapest II. kerület,1,2,45, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,221,"40,04%"
BUDAPEST,Budapest II. kerület,1,2,46, FIDESZ-KDNP,DR. LÁNG ZSOLT ,295,"50,86%"
BUDAPEST,Budapest II. kerület,1,2,46, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,285,"49,14%"
BUDAPEST,Budapest II. kerület,1,2,47, FIDESZ-KDNP,DR. LÁNG ZSOLT ,325,"51,92%"
BUDAPEST,Budapest II. kerület,1,2,47, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,301,"48,08%"
BUDAPEST,Budapest II. kerület,1,2,48, FIDESZ-KDNP,DR. LÁNG ZSOLT ,353,"56,12%"
BUDAPEST,Budapest II. kerület,1,2,48, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,276,"43,88%"
BUDAPEST,Budapest II. kerület,1,2,49, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,298,"52,93%"
BUDAPEST,Budapest II. kerület,1,2,49, FIDESZ-KDNP,DR. LÁNG ZSOLT ,265,"47,07%"
BUDAPEST,Budapest II. kerület,1,2,50, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,299,"57,95%"
BUDAPEST,Budapest II. kerület,1,2,50, FIDESZ-KDNP,DR. LÁNG ZSOLT ,217,"42,05%"
BUDAPEST,Budapest II. kerület,1,2,51, FIDESZ-KDNP,DR. LÁNG ZSOLT ,332,"62,88%"
BUDAPEST,Budapest II. kerület,1,2,51, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,196,"37,12%"
BUDAPEST,Budapest II. kerület,1,2,52, FIDESZ-KDNP,DR. LÁNG ZSOLT ,233,"51,89%"
BUDAPEST,Budapest II. kerület,1,2,52, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,216,"48,11%"
BUDAPEST,Budapest II. kerület,1,2,53, FIDESZ-KDNP,DR. LÁNG ZSOLT ,234,"50,11%"
BUDAPEST,Budapest II. kerület,1,2,53, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,233,"49,89%"
BUDAPEST,Budapest II. kerület,1,2,54, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,347,"53,06%"
BUDAPEST,Budapest II. kerület,1,2,54, FIDESZ-KDNP,DR. LÁNG ZSOLT ,307,"46,94%"
BUDAPEST,Budapest II. kerület,1,2,55, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,301,"50,50%"
BUDAPEST,Budapest II. kerület,1,2,55, FIDESZ-KDNP,DR. LÁNG ZSOLT ,295,"49,50%"
BUDAPEST,Budapest II. kerület,1,2,56, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,271,"54,09%"
BUDAPEST,Budapest II. kerület,1,2,56, FIDESZ-KDNP,DR. LÁNG ZSOLT ,230,"45,91%"
BUDAPEST,Budapest II. kerület,1,2,57, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,315,"59,89%"
BUDAPEST,Budapest II. kerület,1,2,57, FIDESZ-KDNP,DR. LÁNG ZSOLT ,211,"40,11%"
BUDAPEST,Budapest II. kerület,1,2,58, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,305,"54,56%"
BUDAPEST,Budapest II. kerület,1,2,58, FIDESZ-KDNP,DR. LÁNG ZSOLT ,254,"45,44%"
BUDAPEST,Budapest II. kerület,1,2,59, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,326,"59,71%"
BUDAPEST,Budapest II. kerület,1,2,59, FIDESZ-KDNP,DR. LÁNG ZSOLT ,220,"40,29%"
BUDAPEST,Budapest II. kerület,1,2,60, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,305,"61,37%"
BUDAPEST,Budapest II. kerület,1,2,60, FIDESZ-KDNP,DR. LÁNG ZSOLT ,192,"38,63%"
BUDAPEST,Budapest II. kerület,1,2,61, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,334,"55,12%"
BUDAPEST,Budapest II. kerület,1,2,61, FIDESZ-KDNP,DR. LÁNG ZSOLT ,272,"44,88%"
BUDAPEST,Budapest II. kerület,1,2,62, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,227,"57,61%"
BUDAPEST,Budapest II. kerület,1,2,62, FIDESZ-KDNP,DR. LÁNG ZSOLT ,167,"42,39%"
BUDAPEST,Budapest II. kerület,1,2,63, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,316,"57,88%"
BUDAPEST,Budapest II. kerület,1,2,63, FIDESZ-KDNP,DR. LÁNG ZSOLT ,230,"42,12%"
BUDAPEST,Budapest II. kerület,1,2,64, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,287,"54,77%"
BUDAPEST,Budapest II. kerület,1,2,64, FIDESZ-KDNP,DR. LÁNG ZSOLT ,237,"45,23%"
BUDAPEST,Budapest II. kerület,1,2,65, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,296,"54,01%"
BUDAPEST,Budapest II. kerület,1,2,65, FIDESZ-KDNP,DR. LÁNG ZSOLT ,252,"45,99%"
BUDAPEST,Budapest II. kerület,1,2,66, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,325,"54,26%"
BUDAPEST,Budapest II. kerület,1,2,66, FIDESZ-KDNP,DR. LÁNG ZSOLT ,274,"45,74%"
BUDAPEST,Budapest II. kerület,1,2,67, FIDESZ-KDNP,DR. LÁNG ZSOLT ,237,"51,19%"
BUDAPEST,Budapest II. kerület,1,2,67, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,226,"48,81%"
BUDAPEST,Budapest II. kerület,1,2,68, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,300,"59,29%"
BUDAPEST,Budapest II. kerület,1,2,68, FIDESZ-KDNP,DR. LÁNG ZSOLT ,206,"40,71%"
BUDAPEST,Budapest II. kerület,1,2,69, FIDESZ-KDNP,DR. LÁNG ZSOLT ,289,"53,13%"
BUDAPEST,Budapest II. kerület,1,2,69, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,255,"46,88%"
BUDAPEST,Budapest II. kerület,1,2,70, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,ÖRSI GERGELY ,289,"51,61%"
